Country,Counties,"Malaria cases (per 100,000 people)"
Kenya,National Average," 14,475 "
Kenya,Baringo," 28,051 "
Kenya,Bomet," 19,962 "
Kenya,Bungoma," 24,506 "
Kenya,Busia," 77,510 "
Kenya,Elgeiyo-Marakwet," 25,528 "
Kenya,Embu," 34,122 "
Kenya,Garissa," 4,769 "
Kenya,Homa Bay," 44,668 "
Kenya,Isiolo," 29,850 "
Kenya,Kajiado," 20,442 "
Kenya,Kakamega," 37,295 "
Kenya,Kericho," 29,122 "
Kenya,Kiambu," 4,457 "
Kenya,Kilifi," 20,297 "
Kenya,Kirinyaga," 6,723 "
Kenya,Kisii," 23,205 "
Kenya,Kisumu," 41,752 "
Kenya,Kitui," 30,126 "
Kenya,Kwale," 30,166 "
Kenya,Laikipia," 12,164 "
Kenya,Lamu," 24,403 "
Kenya,Machakos," 16,459 "
Kenya,Makueni," 22,042 "
Kenya,Mandera," 2,495 "
Kenya,Marsabit," 8,952 "
Kenya,Meru," 32,549 "
Kenya,Migori," 40,440 "
Kenya,Mombasa," 16,609 "
Kenya,Murang'a," 2,824 "
Kenya,Nairobi," 4,601 "
Kenya,Nakuru," 20,639 "
Kenya,Nandi," 31,012 "
Kenya,Narok," 12,230 "
Kenya,Nyamira," 17,722 "
Kenya,Nyandarua," 5,281 "
Kenya,Nyeri, 543 
Kenya,Samburu," 18,461 "
Kenya,Siaya," 57,462 "
Kenya,Taita Taveta," 57,462 "
Kenya,Tana River," 15,243 "
Kenya,Tharaka - Nithi," 52,833 "
Kenya,Trans Nzoia," 18,053 "
Kenya,Turkana," 18,923 "
Kenya,Uasin Gishu," 23,028 "
Kenya,Vihiga," 36,704 "
Kenya,Wajir," 5,125 "
Kenya,West Pokot," 24,880 "
,,
